"characteristic","received home care services","received home care services","received home care services","received home care services","unmet need for any home care service","unmet need for any home care service","unmet need for any home care service","unmet need for any home care service","unmet need for hhc services","unmet need for hhc services","unmet need for hhc services","unmet need for hhc services","unmet need for support services","unmet need for support services","unmet need for support services","unmet need for support services"
"parent(s) with child(ren) 25 or older","119.4","5.0","4.2","5.9","46.7","2.0","1.4","2.7","20.9","0.9","0.5","1.5","41.1","1.7","1.2","2.4"
"other","25.3","1.9","1.4","2.7","18.2","1.4","0.9","2.2","x","x","x","x","16.5","1.3","0.8","2.0"
"enabling resources","","","","","","","","","","","","","","","",""
"household education","","","","","","","","","","","","","","","",""
"postsecondary graduation","564.4","2.7","2.5","2.9","269.3","1.3","1.2","1.4","95.7","0.5","0.4","0.5","206.4","1.0","0.9","1.1"
"secondary graduation or less","309.8","5.7","5.3","6.2","130.9","2.4","2.1","2.7","38.0","0.7","0.6","0.9","111.1","2.1","1.8","2.4"
"main source of household income","","","","","","","","","","","","","","","",""
"social assistance or old age security and guaranteed income supplement","124.3","9.5","8.6","10.5","75.7","5.8","5.0","6.7","23.7","1.8","1.4","2.5","62.2","4.8","4.1","5.6"
"other","687.7","2.9","2.7","3.0","321.7","1.3","1.2","1.5","114.4","0.5","0.4","0.6","254.3","1.1","1.0","1.2"
"household income","","","","","","","","","","","","","","","",""
"$0 to $39,999","400.4","6.7","6.3","96.5","212.6","3.6","3.2","3.9","64.9","1.1","0.9","1.3","171.3","2.9","2.6","3.2"
"$40,000 to $79,999","273.7","3.4","3.1","97.6","120.6","1.5","1.3","1.7","43.1","0.5","0.4","0.7","96.5","1.2","1.0","1.4"
"$80,000 or more","244.5","1.8","1.6","98.4","99.5","0.7","0.6","0.9","42.1","0.3","0.2","0.4","77.0","0.6","0.5","0.7"
"dwelling ownership","","","","","","","","","","","","","","","",""
"own","601.0","3.0","2.8","3.2","254.6","1.3","1.1","1.4","87.3","0.4","0.4","0.5","205.8","1.0","0.9","1.2"
"rent","313.5","4.3","4.0","4.6","173.6","2.4","2.1","2.7","61.0","0.8","0.7","1.0","61.0","1.8","1.6","2.1"
"regular health care provider","","","","","","","","","","","","","","","",""
"yes","1520.8","6.6","6.4","6.9","621.3","2.7","2.5","2.9","256.3","1.0","0.9","1.2","450.4","1.8","1.7","2.0"
"no","160.4","3.6","3.2","4.0","75.5","1.7","1.4","2.0","37.3","0.8","0.6","1.0","50.5","1.0","0.8","1.3"
"long-term care insurance","","","","","","","","","","","","","","","",""
"yes","414.9","3.7","3.4","4.0","118.4","1.1","0.9","1.2","48.2","0.4","0.3","0.5","86.8","0.8","0.7","0.9"
"no","424.4","3.7","3.4","3.9","257.0","2.2","2.0","2.5","83.8","0.7","0.6","0.9","212.7","1.8","1.6","2.1"
"don't know","76.0","1.7","1.5","2.0","53.1","1.2","1.0","1.5","16.6","0.4","0.3","0.6","41.2","0.9","0.7","1.2"
"needs-related factors","","","","","","","","","","","","","","","",""
"number of chronic conditions","","","","","","","","","","","","","","","",""
"none","183.3","1.2","1.1","1.4","69.4","0.5","0.4","0.6","30.4","0.2","0.1","0.3","44.5","0.3","0.2","0.4"
"one","208.2","3.2","2.8","3.5","69.0","1.0","0.8","1.3","23.2","0.4","0.3","0.5","54.3","0.8","0.6","1.1"
"two","189.2","5.8","5.3","6.5","89.9","2.8","2.3","3.3","35.4","1.1","0.8","1.5","74.2","2.3","1.9","2.8"
"three or more","305.1","12.2","11.3","13.2","187.8","7.5","6.8","8.3","56.3","2.3","1.9","2.7","158.7","6.4","5.7","7.1"
"self-perceived health","","","","","","","","","","","","","","","",""
"fair, poor","394.9","12.6","11.7","13.5","238.0","7.6","6.9","8.4","79.5","2.5","2.1","3.1","199.7","6.4","5.7","7.2"
"good, very good, excellent","522.0","2.2","2.0","2.3","192.9","0.8","0.7","0.9","69.6","0.3","0.2","0.4","144.5","0.6","0.5","0.7"
"time spent in hospital","","","","","","","","","","","","","","","",""
"none","549.3","2.1","2.0","2.3","289.7","1.1","1.0","1.2","89.3","0.3","0.3","0.4","12.2","0.9","0.8","1.0"
"one to seven nights","218.5","15.2","13.8","16.6","81.3","5.7","4.8","6.7","34.8","2.4","1.8","3.2","6.6","4.2","3.4","5.2"
"eight or more nights","142.5","38.4","34.3","42.6","58.7","15.9","12.9","19.5","24.7","6.7","4.7","9.4","6.4","12.6","9.8","16.1"
